"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112835987-112805987",1,0,2.37315904673056,0,1,NA
"112835987-112865987",2,1,2.78967616960906,0.358464545417161,0.719995696030497,NA
"112835987-112880987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112835987-112885987",1,0,2.37315904673056,0,1,NA
"112835987-112890987",1,0,2.20047837175745,0,1,NA
"112835987-112895987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112835987-112900987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112905987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112835987-112910987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112915987",0,NA,NA,NA,NA,NA
"112835987-112920987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112925987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112930987",0,NA,NA,NA,NA,NA
"112835987-112935987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112940987",2,1,2.78967616960906,0.358464545417161,0.719995696030497,NA
"112835987-112945987",0,NA,NA,NA,NA,NA
"112835987-112950987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112955987",1,0,2.20047837175745,0,1,NA
"112835987-112960987",0,NA,NA,NA,NA,NA
"112835987-112965987",0,NA,NA,NA,NA,NA
"112835987-112970987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112975987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112980987",0,NA,NA,NA,NA,NA
"112835987-112985987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-112990987",0,NA,NA,NA,NA,NA
"112835987-112995987",0,NA,NA,NA,NA,NA
"112835987-113000987",0,NA,NA,NA,NA,NA
"112835987-113005987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112835987-113010987",0,NA,NA,NA,NA,NA
"112835987-113015987",0,NA,NA,NA,NA,NA
"112835987-113020987",1,0,2.20047837175745,0,1,NA
"112835987-113025987",0,NA,NA,NA,NA,NA
"112835987-113030987",0,NA,NA,NA,NA,NA
"112835987-113035987",0,NA,NA,NA,NA,NA
"112835987-113040987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113045987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113050987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113055987",0,NA,NA,NA,NA,NA
"112835987-113060987",0,NA,NA,NA,NA,NA
"112835987-113065987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112835987-113070987",0,NA,NA,NA,NA,NA
"112835987-113075987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113080987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113085987",0,NA,NA,NA,NA,NA
"112835987-113090987",0,NA,NA,NA,NA,NA
"112835987-113095987",0,NA,NA,NA,NA,NA
